run	input.fasta	num.sequences	num.haplotypes	Gbps	A.fraction	C.fraction	G.fraction	T.fraction	N.fraction	input.paf	num.alignments	num.matches	s	l	p	n	k	B	time.seconds	memory.Gbytes	disk.Gbytes	gzipped.gfa.disk.size.Gbytes	graph.length.Gbps	num.nodes	num.edges	num.paths	num.components	group	seg.len	min.mapping.len	map.ident	map.n	seqwish.k	seqwish.B
athaliana16.s100k.l300k.p98.n16.k311.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	311	50M	355	30.6002	4.0832	.1914	0.575704	1740116	2384272	922	427	athaliana16	s100k	l300k	p98	n16	k311	B50M
athaliana16.s100k.l300k.p98.n16.k229.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	229	50M	364	32.0916	5.2665	.1923	0.541011	2061194	2830863	922	412	athaliana16	s100k	l300k	p98	n16	k229	B50M
athaliana16.s100k.l300k.p98.n16.k179.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	179	50M	392	33.1188	4.7878	.1943	0.518576	2332402	3209032	922	403	athaliana16	s100k	l300k	p98	n16	k179	B50M
athaliana16.s100k.l300k.p98.n16.k127.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	127	50M	378	34.2780	4.9666	.1982	0.494139	2725122	3757855	922	402	athaliana16	s100k	l300k	p98	n16	k127	B50M
athaliana16.s100k.l300k.p98.n16.k79.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	79	50M	395	35.5667	5.8926	.2080	0.470318	3291746	4552435	922	402	athaliana16	s100k	l300k	p98	n16	k79	B50M
athaliana16.s100k.l300k.p98.n16.k49.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	49	50M	406	36.5680	6.0549	.2207	0.45484	3876268	5375957	922	402	athaliana16	s100k	l300k	p98	n16	k49	B50M
athaliana16.s100k.l300k.p98.n16.k29.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	29	50M	416	37.4733	6.9382	.2363	0.444187	4535036	6307091	922	402	athaliana16	s100k	l300k	p98	n16	k29	B50M
athaliana16.s100k.l300k.p98.n16.k11.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	11	50M	442	38.6246	7.8265	.2666	0.434907	5689355	7950352	922	402	athaliana16	s100k	l300k	p98	n16	k11	B50M
athaliana16.s100k.l300k.p98.n16.k0.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p98.n16	4339	8.12724e+09	100k	300k	98	16	0	50M	467	39.6779	9.4433	.3046	0.431538	7029331	9945625	922	402	athaliana16	s100k	l300k	p98	n16	k0	B50M
athaliana16.s100k.l300k.p95.n16.k311.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	311	50M	375	33.0610	4.2140	.1718	0.452235	2197480	2988478	922	329	athaliana16	s100k	l300k	p95	n16	k311	B50M
athaliana16.s100k.l300k.p95.n16.k229.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	229	50M	368	35.0513	4.6805	.1728	0.401193	2701797	3679952	922	289	athaliana16	s100k	l300k	p95	n16	k229	B50M
athaliana16.s100k.l300k.p95.n16.k179.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	179	50M	412	36.5124	5.1228	.1767	0.366868	3144404	4287974	922	275	athaliana16	s100k	l300k	p95	n16	k179	B50M
athaliana16.s100k.l300k.p95.n16.k127.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	127	50M	421	38.2959	5.4781	.1865	0.328654	3797768	5187251	922	249	athaliana16	s100k	l300k	p95	n16	k127	B50M
athaliana16.s100k.l300k.p95.n16.k79.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	79	50M	431	40.3209	6.8511	.2050	0.29177	4724019	6466982	922	245	athaliana16	s100k	l300k	p95	n16	k79	B50M
athaliana16.s100k.l300k.p95.n16.k49.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	49	50M	450	41.9728	7.0910	.2265	0.268889	5629559	7724444	922	244	athaliana16	s100k	l300k	p95	n16	k49	B50M
athaliana16.s100k.l300k.p95.n16.k29.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	29	50M	452	43.4358	7.5572	.2529	0.254058	6583773	9055495	922	244	athaliana16	s100k	l300k	p95	n16	k29	B50M
athaliana16.s100k.l300k.p95.n16.k11.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	11	50M	515	45.5185	12.2256	.3017	0.241693	8196402	11321712	922	244	athaliana16	s100k	l300k	p95	n16	k11	B50M
athaliana16.s100k.l300k.p95.n16.k0.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p95.n16	3295	1.12242e+10	100k	300k	95	16	0	50M	575	47.6367	19.7364	.3750	0.236086	10226313	14416967	922	244	athaliana16	s100k	l300k	p95	n16	k0	B50M
athaliana16.s100k.l300k.p90.n16.k311.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p90.n16	3158	1.18278e+10	100k	300k	90	16	311	50M	362	33.4707	4.7287	.1689	0.434506	2262830	3072368	922	327	athaliana16	s100k	l300k	p90	n16	k311	B50M
athaliana16.s100k.l300k.p90.n16.k229.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p90.n16	3158	1.18278e+10	100k	300k	90	16	229	50M	391	35.5387	4.5937	.1699	0.38158	2796912	3801266	922	279	athaliana16	s100k	l300k	p90	n16	k229	B50M
athaliana16.s100k.l300k.p90.n16.k179.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p90.n16	3158	1.18278e+10	100k	300k	90	16	179	50M	384	37.0493	5.2157	.1748	0.346112	3265969	4442190	922	238	athaliana16	s100k	l300k	p90	n16	k179	B50M
athaliana16.s100k.l300k.p90.n16.k127.B50M	athaliana16	922	16	1.90251	0.317525	0.179217	0.179154	0.317104	0.00699528	athaliana16.s100k.l300k.p90.n16	3158	1.18278e+10	100k	300k	90	16	127	50M	422	38.9239	6.0713	.1855	0.306851	3955454	5386092	922	189	athaliana16	s100k	l300k	p90	n16	k127	B50M
