[seqwish::seqidx] 1.312 indexing sequences
[seqwish::seqidx] 2125.054 index built
[seqwish::alignments] 2125.054 processing alignments
[seqwish::alignments] 6664.320 indexing
[seqwish::alignments] 46258.170 index built
[seqwish::transclosure] 53310.303 8.23% 13080434415-14222644675 rank_build
[seqwish::transclosure] 53369.573 8.23% 13080434415-14222644675 parallel_union_find
[seqwish::transclosure] 53370.129 8.23% 13080434415-14222644675 dset_write
[seqwish::transclosure] 53370.830 8.23% 13080434415-14222644675 dset_compression
[seqwish::transclosure] 53371.432 8.23% 13080434415-14222644675 dset_sort
[seqwish::transclosure] 53372.080 8.23% 13080434415-14222644675 dset_invert
[seqwish::transclosure] 53372.752 8.23% 13080434415-14222644675 graph_emission
[seqwish::transclosure] 53386.114 8.28% 14222644675-15248273543 overlap_collect
[seqwish::transclosure] 53389.464 8.28% 14222644675-15248273543 rank_build
[seqwish::transclosure] 53444.690 8.28% 14222644675-15248273543 parallel_union_find
[seqwish::transclosure] 53444.838 8.28% 14222644675-15248273543 dset_write
[seqwish::transclosure] 53445.231 8.28% 14222644675-15248273543 dset_compression
[seqwish::transclosure] 53445.537 8.28% 14222644675-15248273543 dset_sort
[seqwish::transclosure] 53445.982 8.28% 14222644675-15248273543 dset_invert
[seqwish::transclosure] 53446.405 8.28% 14222644675-15248273543 graph_emission
[seqwish::transclosure] 53460.048 8.30% 15248273543-16495305457 overlap_collect
[seqwish::transclosure] 53463.959 8.30% 15248273543-16495305457 rank_build
[seqwish::transclosure] 53519.312 8.30% 15248273543-16495305457 parallel_union_find
[seqwish::transclosure] 53519.363 8.30% 15248273543-16495305457 dset_write
[seqwish::transclosure] 53519.667 8.30% 15248273543-16495305457 dset_compression
[seqwish::transclosure] 53519.881 8.30% 15248273543-16495305457 dset_sort
[seqwish::transclosure] 53520.307 8.30% 15248273543-16495305457 dset_invert
[seqwish::transclosure] 53520.686 8.30% 15248273543-16495305457 graph_emission
[seqwish::transclosure] 53534.982 8.32% 16495305457-17984543687 overlap_collect
[seqwish::transclosure] 53539.704 8.32% 16495305457-17984543687 rank_build
[seqwish::transclosure] 53597.118 8.32% 16495305457-17984543687 parallel_union_find
[seqwish::transclosure] 53597.175 8.32% 16495305457-17984543687 dset_write
[seqwish::transclosure] 53597.449 8.32% 16495305457-17984543687 dset_compression
[seqwish::transclosure] 53597.644 8.32% 16495305457-17984543687 dset_sort
[seqwish::transclosure] 53598.045 8.32% 16495305457-17984543687 dset_invert
[seqwish::transclosure] 53598.381 8.32% 16495305457-17984543687 graph_emission
[seqwish::transclosure] 53611.323 8.34% 17984543687-18704724124 overlap_collect
[seqwish::transclosure] 53613.863 8.34% 17984543687-18704724124 rank_build
[seqwish::transclosure] 53668.714 8.34% 17984543687-18704724124 parallel_union_find
[seqwish::transclosure] 53668.833 8.34% 17984543687-18704724124 dset_write
[seqwish::transclosure] 53669.092 8.34% 17984543687-18704724124 dset_compression
[seqwish::transclosure] 53669.304 8.34% 17984543687-18704724124 dset_sort
[seqwish::transclosure] 53669.664 8.34% 17984543687-18704724124 dset_invert
[seqwish::transclosure] 53669.980 8.34% 17984543687-18704724124 graph_emission
[seqwish::transclosure] 53682.511 8.36% 18704724124-20036740497 overlap_collect
[seqwish::transclosure] 53686.563 8.36% 18704724124-20036740497 rank_build
[seqwish::transclosure] 53743.581 8.36% 18704724124-20036740497 parallel_union_find
[seqwish::transclosure] 53743.645 8.36% 18704724124-20036740497 dset_write
[seqwish::transclosure] 53743.905 8.36% 18704724124-20036740497 dset_compression
[seqwish::transclosure] 53744.103 8.36% 18704724124-20036740497 dset_sort
[seqwish::transclosure] 53744.478 8.36% 18704724124-20036740497 dset_invert
[seqwish::transclosure] 53744.794 8.36% 18704724124-20036740497 graph_emission
[seqwish::transclosure] 53758.069 8.38% 20036740497-21168240841 overlap_collect
[seqwish::transclosure] 53761.596 8.38% 20036740497-21168240841 rank_build
[seqwish::transclosure] 53815.933 8.38% 20036740497-21168240841 parallel_union_find
[seqwish::transclosure] 53816.034 8.38% 20036740497-21168240841 dset_write
[seqwish::transclosure] 53816.327 8.38% 20036740497-21168240841 dset_compression
[seqwish::transclosure] 53816.537 8.38% 20036740497-21168240841 dset_sort
[seqwish::transclosure] 53816.906 8.38% 20036740497-21168240841 dset_invert
[seqwish::transclosure] 53817.215 8.38% 20036740497-21168240841 graph_emission
[seqwish::transclosure] 53829.592 8.40% 21168240841-22068908479 overlap_collect
[seqwish::transclosure] 53832.586 8.40% 21168240841-22068908479 rank_build
[seqwish::transclosure] 53889.454 8.40% 21168240841-22068908479 parallel_union_find
[seqwish::transclosure] 53889.732 8.40% 21168240841-22068908479 dset_write
[seqwish::transclosure] 53889.997 8.40% 21168240841-22068908479 dset_compression
[seqwish::transclosure] 53890.182 8.40% 21168240841-22068908479 dset_sort
[seqwish::transclosure] 53890.523 8.40% 21168240841-22068908479 dset_invert
[seqwish::transclosure] 53890.799 8.40% 21168240841-22068908479 graph_emission
[seqwish::transclosure] 53902.824 8.42% 22068908479-22586036518 overlap_collect
[seqwish::transclosure] 53992.332 8.42% 22068908479-22586036518 rank_build
[seqwish::transclosure] 54079.523 8.42% 22068908479-22586036518 parallel_union_find
[seqwish::transclosure] 54225.221 8.42% 22068908479-22586036518 dset_write
[seqwish::transclosure] 54240.975 8.42% 22068908479-22586036518 dset_compression
[seqwish::transclosure] 54255.966 8.42% 22068908479-22586036518 dset_sort
[seqwish::transclosure] 54264.646 8.42% 22068908479-22586036518 dset_invert
[seqwish::transclosure] 54277.144 8.42% 22068908479-22586036518 graph_emission
[seqwish::transclosure] 54300.241 9.53% 22586036518-22636036518 overlap_collect
[seqwish::transclosure] 54441.020 9.53% 22586036518-22636036518 rank_build
[seqwish::transclosure] 54549.538 9.53% 22586036518-22636036518 parallel_union_find
[seqwish::transclosure] 55087.333 9.53% 22586036518-22636036518 dset_write
[seqwish::transclosure] 55121.833 9.53% 22586036518-22636036518 dset_compression
[seqwish::transclosure] 55141.858 9.53% 22586036518-22636036518 dset_sort
[seqwish::transclosure] 55154.614 9.53% 22586036518-22636036518 dset_invert
[seqwish::transclosure] 55168.524 9.53% 22586036518-22636036518 graph_emission
[seqwish::transclosure] 55297.609 11.17% 22636036518-22686234673 overlap_collect
[seqwish::transclosure] 55439.042 11.17% 22636036518-22686234673 rank_build
[seqwish::transclosure] 55542.232 11.17% 22636036518-22686234673 parallel_union_find
[seqwish::transclosure] 55975.123 11.17% 22636036518-22686234673 dset_write
[seqwish::transclosure] 56001.564 11.17% 22636036518-22686234673 dset_compression
[seqwish::transclosure] 56022.985 11.17% 22636036518-22686234673 dset_sort
