[seqwish::seqidx] 0.005 indexing sequences
[seqwish::seqidx] 2103.997 index built
[seqwish::alignments] 2103.997 processing alignments
[seqwish::alignments] 6524.770 indexing
[seqwish::alignments] 40892.760 index built
[seqwish::transclosure] 46134.963 8.10% 8276755369-9688585026 graph_emission
[seqwish::transclosure] 46150.200 8.12% 9688585026-10612291761 overlap_collect
[seqwish::transclosure] 46153.435 8.12% 9688585026-10612291761 rank_build
[seqwish::transclosure] 46210.848 8.12% 9688585026-10612291761 parallel_union_find
[seqwish::transclosure] 46210.876 8.12% 9688585026-10612291761 dset_write
[seqwish::transclosure] 46211.170 8.12% 9688585026-10612291761 dset_compression
[seqwish::transclosure] 46211.414 8.12% 9688585026-10612291761 dset_sort
[seqwish::transclosure] 46211.835 8.12% 9688585026-10612291761 dset_invert
[seqwish::transclosure] 46212.196 8.12% 9688585026-10612291761 graph_emission
[seqwish::transclosure] 46226.404 8.14% 10612291761-11571344525 overlap_collect
[seqwish::transclosure] 46229.576 8.14% 10612291761-11571344525 rank_build
[seqwish::transclosure] 46284.757 8.14% 10612291761-11571344525 parallel_union_find
[seqwish::transclosure] 46284.925 8.14% 10612291761-11571344525 dset_write
[seqwish::transclosure] 46285.392 8.14% 10612291761-11571344525 dset_compression
[seqwish::transclosure] 46285.751 8.14% 10612291761-11571344525 dset_sort
[seqwish::transclosure] 46286.219 8.14% 10612291761-11571344525 dset_invert
[seqwish::transclosure] 46286.710 8.14% 10612291761-11571344525 graph_emission
[seqwish::transclosure] 46301.771 8.18% 11571344525-12716586280 overlap_collect
[seqwish::transclosure] 46305.584 8.18% 11571344525-12716586280 rank_build
[seqwish::transclosure] 46364.637 8.18% 11571344525-12716586280 parallel_union_find
[seqwish::transclosure] 46364.718 8.18% 11571344525-12716586280 dset_write
[seqwish::transclosure] 46365.025 8.18% 11571344525-12716586280 dset_compression
[seqwish::transclosure] 46365.263 8.18% 11571344525-12716586280 dset_sort
[seqwish::transclosure] 46365.660 8.18% 11571344525-12716586280 dset_invert
[seqwish::transclosure] 46366.020 8.18% 11571344525-12716586280 graph_emission
[seqwish::transclosure] 46379.700 8.20% 12716586280-13905527501 overlap_collect
[seqwish::transclosure] 46383.531 8.20% 12716586280-13905527501 rank_build
[seqwish::transclosure] 46437.846 8.20% 12716586280-13905527501 parallel_union_find
[seqwish::transclosure] 46437.965 8.20% 12716586280-13905527501 dset_write
[seqwish::transclosure] 46438.374 8.20% 12716586280-13905527501 dset_compression
[seqwish::transclosure] 46438.727 8.20% 12716586280-13905527501 dset_sort
[seqwish::transclosure] 46439.252 8.20% 12716586280-13905527501 dset_invert
[seqwish::transclosure] 46439.722 8.20% 12716586280-13905527501 graph_emission
[seqwish::transclosure] 46453.629 8.23% 13905527501-15126779791 overlap_collect
[seqwish::transclosure] 46459.351 8.23% 13905527501-15126779791 rank_build
[seqwish::transclosure] 46515.233 8.23% 13905527501-15126779791 parallel_union_find
[seqwish::transclosure] 46515.744 8.23% 13905527501-15126779791 dset_write
[seqwish::transclosure] 46516.429 8.23% 13905527501-15126779791 dset_compression
[seqwish::transclosure] 46517.036 8.23% 13905527501-15126779791 dset_sort
[seqwish::transclosure] 46517.660 8.23% 13905527501-15126779791 dset_invert
[seqwish::transclosure] 46518.298 8.23% 13905527501-15126779791 graph_emission
[seqwish::transclosure] 46533.293 8.27% 15126779791-15960376643 overlap_collect
[seqwish::transclosure] 46536.076 8.27% 15126779791-15960376643 rank_build
[seqwish::transclosure] 46596.510 8.27% 15126779791-15960376643 parallel_union_find
[seqwish::transclosure] 46596.637 8.27% 15126779791-15960376643 dset_write
[seqwish::transclosure] 46596.996 8.27% 15126779791-15960376643 dset_compression
[seqwish::transclosure] 46597.314 8.27% 15126779791-15960376643 dset_sort
[seqwish::transclosure] 46597.742 8.27% 15126779791-15960376643 dset_invert
[seqwish::transclosure] 46598.136 8.27% 15126779791-15960376643 graph_emission
[seqwish::transclosure] 46611.126 8.30% 15960376643-16995344679 overlap_collect
[seqwish::transclosure] 46614.549 8.30% 15960376643-16995344679 rank_build
[seqwish::transclosure] 46670.241 8.30% 15960376643-16995344679 parallel_union_find
[seqwish::transclosure] 46670.300 8.30% 15960376643-16995344679 dset_write
[seqwish::transclosure] 46670.618 8.30% 15960376643-16995344679 dset_compression
[seqwish::transclosure] 46670.823 8.30% 15960376643-16995344679 dset_sort
[seqwish::transclosure] 46671.286 8.30% 15960376643-16995344679 dset_invert
[seqwish::transclosure] 46671.641 8.30% 15960376643-16995344679 graph_emission
[seqwish::transclosure] 46684.363 8.32% 16995344679-18255724798 overlap_collect
[seqwish::transclosure] 46688.357 8.32% 16995344679-18255724798 rank_build
[seqwish::transclosure] 46745.317 8.32% 16995344679-18255724798 parallel_union_find
[seqwish::transclosure] 46745.449 8.32% 16995344679-18255724798 dset_write
[seqwish::transclosure] 46745.765 8.32% 16995344679-18255724798 dset_compression
[seqwish::transclosure] 46746.005 8.32% 16995344679-18255724798 dset_sort
[seqwish::transclosure] 46746.434 8.32% 16995344679-18255724798 dset_invert
[seqwish::transclosure] 46746.796 8.32% 16995344679-18255724798 graph_emission
[seqwish::transclosure] 46761.352 8.34% 18255724798-19310245401 overlap_collect
[seqwish::transclosure] 46764.631 8.34% 18255724798-19310245401 rank_build
[seqwish::transclosure] 46819.421 8.34% 18255724798-19310245401 parallel_union_find
[seqwish::transclosure] 46819.481 8.34% 18255724798-19310245401 dset_write
[seqwish::transclosure] 46819.760 8.34% 18255724798-19310245401 dset_compression
[seqwish::transclosure] 46819.992 8.34% 18255724798-19310245401 dset_sort
[seqwish::transclosure] 46820.392 8.34% 18255724798-19310245401 dset_invert
[seqwish::transclosure] 46820.768 8.34% 18255724798-19310245401 graph_emission
[seqwish::transclosure] 46836.121 8.36% 19310245401-20788084714 overlap_collect
[seqwish::transclosure] 46840.526 8.36% 19310245401-20788084714 rank_build
[seqwish::transclosure] 46895.502 8.36% 19310245401-20788084714 parallel_union_find
[seqwish::transclosure] 46895.595 8.36% 19310245401-20788084714 dset_write
[seqwish::transclosure] 46895.887 8.36% 19310245401-20788084714 dset_compression
[seqwish::transclosure] 46896.129 8.36% 19310245401-20788084714 dset_sort
