	
[seqwish::seqidx] 0.043 indexing sequences
[seqwish::seqidx] 2127.004 index built
[seqwish::alignments] 2127.004 processing alignments
[seqwish::alignments] 8938.554 indexing
[seqwish::alignments] 64419.272 index built
[seqwish::transclosure] 72084.079 8.40% 16713429322-18158141194 overlap_collect
[seqwish::transclosure] 72088.790 8.40% 16713429322-18158141194 rank_build
[seqwish::transclosure] 72143.626 8.40% 16713429322-18158141194 parallel_union_find
[seqwish::transclosure] 72143.702 8.40% 16713429322-18158141194 dset_write
[seqwish::transclosure] 72144.015 8.40% 16713429322-18158141194 dset_compression
[seqwish::transclosure] 72144.247 8.40% 16713429322-18158141194 dset_sort
[seqwish::transclosure] 72144.648 8.40% 16713429322-18158141194 dset_invert
[seqwish::transclosure] 72145.016 8.40% 16713429322-18158141194 graph_emission
[seqwish::transclosure] 72159.728 8.42% 18158141194-19308471833 overlap_collect
[seqwish::transclosure] 72163.399 8.42% 18158141194-19308471833 rank_build
[seqwish::transclosure] 72218.179 8.42% 18158141194-19308471833 parallel_union_find
[seqwish::transclosure] 72218.233 8.42% 18158141194-19308471833 dset_write
[seqwish::transclosure] 72218.508 8.42% 18158141194-19308471833 dset_compression
[seqwish::transclosure] 72218.712 8.42% 18158141194-19308471833 dset_sort
[seqwish::transclosure] 72219.138 8.42% 18158141194-19308471833 dset_invert
[seqwish::transclosure] 72219.467 8.42% 18158141194-19308471833 graph_emission
[seqwish::transclosure] 72234.244 8.44% 19308471833-20818640432 overlap_collect
[seqwish::transclosure] 72238.866 8.44% 19308471833-20818640432 rank_build
[seqwish::transclosure] 72293.811 8.44% 19308471833-20818640432 parallel_union_find
[seqwish::transclosure] 72293.963 8.44% 19308471833-20818640432 dset_write
[seqwish::transclosure] 72294.240 8.44% 19308471833-20818640432 dset_compression
[seqwish::transclosure] 72294.450 8.44% 19308471833-20818640432 dset_sort
[seqwish::transclosure] 72294.834 8.44% 19308471833-20818640432 dset_invert
[seqwish::transclosure] 72295.144 8.44% 19308471833-20818640432 graph_emission
[seqwish::transclosure] 72309.403 8.46% 20818640432-21752751627 overlap_collect
[seqwish::transclosure] 72312.452 8.46% 20818640432-21752751627 rank_build
[seqwish::transclosure] 72367.755 8.46% 20818640432-21752751627 parallel_union_find
[seqwish::transclosure] 72367.992 8.46% 20818640432-21752751627 dset_write
[seqwish::transclosure] 72368.274 8.46% 20818640432-21752751627 dset_compression
[seqwish::transclosure] 72368.472 8.46% 20818640432-21752751627 dset_sort
[seqwish::transclosure] 72368.784 8.46% 20818640432-21752751627 dset_invert
[seqwish::transclosure] 72369.049 8.46% 20818640432-21752751627 graph_emission
[seqwish::transclosure] 72382.177 8.48% 21752751627-22568419060 overlap_collect
[seqwish::transclosure] 72440.422 8.48% 21752751627-22568419060 rank_build
[seqwish::transclosure] 72511.622 8.48% 21752751627-22568419060 parallel_union_find
[seqwish::transclosure] 72581.678 8.48% 21752751627-22568419060 dset_write
[seqwish::transclosure] 72589.593 8.48% 21752751627-22568419060 dset_compression
[seqwish::transclosure] 72596.057 8.48% 21752751627-22568419060 dset_sort
[seqwish::transclosure] 72600.408 8.48% 21752751627-22568419060 dset_invert
[seqwish::transclosure] 72606.861 8.48% 21752751627-22568419060 graph_emission
[seqwish::transclosure] 72623.572 9.01% 22568419060-22618419060 overlap_collect
[seqwish::transclosure] 72772.340 9.01% 22568419060-22618419060 rank_build
[seqwish::transclosure] 72881.650 9.01% 22568419060-22618419060 parallel_union_find
[seqwish::transclosure] 73154.727 9.01% 22568419060-22618419060 dset_write
[seqwish::transclosure] 73182.170 9.01% 22568419060-22618419060 dset_compression
[seqwish::transclosure] 73203.499 9.01% 22568419060-22618419060 dset_sort
[seqwish::transclosure] 73217.015 9.01% 22568419060-22618419060 dset_invert
[seqwish::transclosure] 73232.764 9.01% 22568419060-22618419060 graph_emission
[seqwish::transclosure] 73258.887 10.67% 22618419060-22668743550 overlap_collect
[seqwish::transclosure] 73410.599 10.67% 22618419060-22668743550 rank_build
[seqwish::transclosure] 73515.839 10.67% 22618419060-22668743550 parallel_union_find
[seqwish::transclosure] 74021.527 10.67% 22618419060-22668743550 dset_write
[seqwish::transclosure] 74053.486 10.67% 22618419060-22668743550 dset_compression
[seqwish::transclosure] 74077.528 10.67% 22618419060-22668743550 dset_sort
[seqwish::transclosure] 74102.045 10.67% 22618419060-22668743550 dset_invert
[seqwish::transclosure] 74116.314 10.67% 22618419060-22668743550 graph_emission
[seqwish::transclosure] 74460.231 12.26% 22668743550-22718743550 overlap_collect
[seqwish::transclosure] 74621.286 12.26% 22668743550-22718743550 rank_build
[seqwish::transclosure] 74734.664 12.26% 22668743550-22718743550 parallel_union_find
[seqwish::transclosure] 75300.835 12.26% 22668743550-22718743550 dset_write
[seqwish::transclosure] 75329.897 12.26% 22668743550-22718743550 dset_compression
[seqwish::transclosure] 75350.538 12.26% 22668743550-22718743550 dset_sort
[seqwish::transclosure] 75364.120 12.26% 22668743550-22718743550 dset_invert
[seqwish::transclosure] 75380.956 12.26% 22668743550-22718743550 graph_emission
[seqwish::transclosure] 75751.439 13.92% 22718743550-22768743550 overlap_collect
[seqwish::transclosure] 75893.247 13.92% 22718743550-22768743550 rank_build
[seqwish::transclosure] 76012.550 13.92% 22718743550-22768743550 parallel_union_find
[seqwish::transclosure] 76637.061 13.92% 22718743550-22768743550 dset_write
[seqwish::transclosure] 76667.028 13.92% 22718743550-22768743550 dset_compression
[seqwish::transclosure] 76688.354 13.92% 22718743550-22768743550 dset_sort
[seqwish::transclosure] 76704.860 13.92% 22718743550-22768743550 dset_invert
[seqwish::transclosure] 76726.510 13.92% 22718743550-22768743550 graph_emission
[seqwish::transclosure] 77049.171 15.58% 22768743550-23030429729 overlap_collect
[seqwish::transclosure] 77273.434 15.58% 22768743550-23030429729 rank_build
