octopus08
[seqwish::seqidx] 0.015 indexing sequences
[seqwish::seqidx] 907.437 index built
[seqwish::alignments] 907.438 processing alignments
[seqwish::alignments] 1971.214 indexing
[seqwish::alignments] 5399.451 index built
[seqwish::transclosure] 12348.637 29.06% 900812777-950812777 dset_write
[seqwish::transclosure] 12360.077 29.06% 900812777-950812777 dset_compression
[seqwish::transclosure] 12371.698 29.06% 900812777-950812777 dset_sort
[seqwish::transclosure] 12376.156 29.06% 900812777-950812777 dset_invert
[seqwish::transclosure] 12386.386 29.06% 900812777-950812777 graph_emission
[seqwish::transclosure] 12578.685 30.61% 950812777-1000812777 overlap_collect
[seqwish::transclosure] 12604.703 30.61% 950812777-1000812777 rank_build
[seqwish::transclosure] 12645.902 30.61% 950812777-1000812777 parallel_union_find
[seqwish::transclosure] 12751.198 30.61% 950812777-1000812777 dset_write
[seqwish::transclosure] 12764.905 30.61% 950812777-1000812777 dset_compression
[seqwish::transclosure] 12776.949 30.61% 950812777-1000812777 dset_sort
[seqwish::transclosure] 12781.636 30.61% 950812777-1000812777 dset_invert
[seqwish::transclosure] 12792.058 30.61% 950812777-1000812777 graph_emission
[seqwish::transclosure] 12949.602 32.26% 1000812777-1050812777 overlap_collect
[seqwish::transclosure] 12977.296 32.26% 1000812777-1050812777 rank_build
[seqwish::transclosure] 13023.145 32.26% 1000812777-1050812777 parallel_union_find
[seqwish::transclosure] 13134.058 32.26% 1000812777-1050812777 dset_write
[seqwish::transclosure] 13146.883 32.26% 1000812777-1050812777 dset_compression
[seqwish::transclosure] 13157.465 32.26% 1000812777-1050812777 dset_sort
[seqwish::transclosure] 13162.139 32.26% 1000812777-1050812777 dset_invert
[seqwish::transclosure] 13170.565 32.26% 1000812777-1050812777 graph_emission
[seqwish::transclosure] 13346.993 33.91% 1050812777-1100911657 overlap_collect
[seqwish::transclosure] 13377.955 33.91% 1050812777-1100911657 rank_build
[seqwish::transclosure] 13417.500 33.91% 1050812777-1100911657 parallel_union_find
[seqwish::transclosure] 13509.419 33.91% 1050812777-1100911657 dset_write
[seqwish::transclosure] 13522.527 33.91% 1050812777-1100911657 dset_compression
[seqwish::transclosure] 13534.540 33.91% 1050812777-1100911657 dset_sort
[seqwish::transclosure] 13539.127 33.91% 1050812777-1100911657 dset_invert
[seqwish::transclosure] 13548.694 33.91% 1050812777-1100911657 graph_emission
[seqwish::transclosure] 13721.942 35.56% 1100911657-1150911657 overlap_collect
[seqwish::transclosure] 13751.296 35.56% 1100911657-1150911657 rank_build
[seqwish::transclosure] 13796.773 35.56% 1100911657-1150911657 parallel_union_find
[seqwish::transclosure] 13904.461 35.56% 1100911657-1150911657 dset_write
[seqwish::transclosure] 13917.533 35.56% 1100911657-1150911657 dset_compression
[seqwish::transclosure] 13927.818 35.56% 1100911657-1150911657 dset_sort
[seqwish::transclosure] 13932.762 35.56% 1100911657-1150911657 dset_invert
[seqwish::transclosure] 13941.195 35.56% 1100911657-1150911657 graph_emission
[seqwish::transclosure] 14124.194 37.17% 1150911657-1200911657 overlap_collect
[seqwish::transclosure] 14149.638 37.17% 1150911657-1200911657 rank_build
[seqwish::transclosure] 14192.607 37.17% 1150911657-1200911657 parallel_union_find
[seqwish::transclosure] 14303.391 37.17% 1150911657-1200911657 dset_write
[seqwish::transclosure] 14315.857 37.17% 1150911657-1200911657 dset_compression
[seqwish::transclosure] 14325.717 37.17% 1150911657-1200911657 dset_sort
[seqwish::transclosure] 14330.619 37.17% 1150911657-1200911657 dset_invert
[seqwish::transclosure] 14338.318 37.17% 1150911657-1200911657 graph_emission
[seqwish::transclosure] 14523.777 38.83% 1200911657-1250911657 overlap_collect
[seqwish::transclosure] 14553.764 38.83% 1200911657-1250911657 rank_build
[seqwish::transclosure] 14611.481 38.83% 1200911657-1250911657 parallel_union_find
[seqwish::transclosure] 14705.252 38.83% 1200911657-1250911657 dset_write
[seqwish::transclosure] 14718.302 38.83% 1200911657-1250911657 dset_compression
[seqwish::transclosure] 14731.756 38.83% 1200911657-1250911657 dset_sort
