octopus08
[seqwish::seqidx] 0.004 indexing sequences
[seqwish::seqidx] 891.785 index built
[seqwish::alignments] 891.786 processing alignments
[seqwish::alignments] 1665.702 indexing
[seqwish::alignments] 3846.479 index built
[seqwish::transclosure] 9119.983 22.20% 700356765-750356765 dset_write
[seqwish::transclosure] 9131.432 22.20% 700356765-750356765 dset_compression
[seqwish::transclosure] 9142.814 22.20% 700356765-750356765 dset_sort
[seqwish::transclosure] 9147.180 22.20% 700356765-750356765 dset_invert
[seqwish::transclosure] 9157.309 22.20% 700356765-750356765 graph_emission
[seqwish::transclosure] 9333.004 23.69% 750356765-800356765 overlap_collect
[seqwish::transclosure] 9357.332 23.69% 750356765-800356765 rank_build
[seqwish::transclosure] 9399.951 23.69% 750356765-800356765 parallel_union_find
[seqwish::transclosure] 9498.457 23.69% 750356765-800356765 dset_write
[seqwish::transclosure] 9510.749 23.69% 750356765-800356765 dset_compression
[seqwish::transclosure] 9523.092 23.69% 750356765-800356765 dset_sort
[seqwish::transclosure] 9528.164 23.69% 750356765-800356765 dset_invert
[seqwish::transclosure] 9540.004 23.69% 750356765-800356765 graph_emission
[seqwish::transclosure] 9703.681 25.32% 800356765-850356765 overlap_collect
[seqwish::transclosure] 9727.713 25.32% 800356765-850356765 rank_build
[seqwish::transclosure] 9773.048 25.32% 800356765-850356765 parallel_union_find
[seqwish::transclosure] 9882.425 25.32% 800356765-850356765 dset_write
[seqwish::transclosure] 9894.890 25.32% 800356765-850356765 dset_compression
[seqwish::transclosure] 9906.439 25.32% 800356765-850356765 dset_sort
[seqwish::transclosure] 9911.110 25.32% 800356765-850356765 dset_invert
[seqwish::transclosure] 9921.206 25.32% 800356765-850356765 graph_emission
[seqwish::transclosure] 10086.771 26.95% 850356765-900356765 overlap_collect
[seqwish::transclosure] 10110.394 26.95% 850356765-900356765 rank_build
[seqwish::transclosure] 10154.929 26.95% 850356765-900356765 parallel_union_find
[seqwish::transclosure] 10252.596 26.95% 850356765-900356765 dset_write
[seqwish::transclosure] 10266.757 26.95% 850356765-900356765 dset_compression
[seqwish::transclosure] 10277.478 26.95% 850356765-900356765 dset_sort
[seqwish::transclosure] 10282.143 26.95% 850356765-900356765 dset_invert
[seqwish::transclosure] 10290.101 26.95% 850356765-900356765 graph_emission
[seqwish::transclosure] 10455.876 28.58% 900356765-950356765 overlap_collect
[seqwish::transclosure] 10478.254 28.58% 900356765-950356765 rank_build
[seqwish::transclosure] 10532.943 28.58% 900356765-950356765 parallel_union_find
[seqwish::transclosure] 10627.210 28.58% 900356765-950356765 dset_write
[seqwish::transclosure] 10639.368 28.58% 900356765-950356765 dset_compression
[seqwish::transclosure] 10650.685 28.58% 900356765-950356765 dset_sort
[seqwish::transclosure] 10655.000 28.58% 900356765-950356765 dset_invert
[seqwish::transclosure] 10664.913 28.58% 900356765-950356765 graph_emission
[seqwish::transclosure] 10832.726 30.10% 950356765-1000356765 overlap_collect
[seqwish::transclosure] 10857.388 30.10% 950356765-1000356765 rank_build
[seqwish::transclosure] 10900.625 30.10% 950356765-1000356765 parallel_union_find
[seqwish::transclosure] 11007.393 30.10% 950356765-1000356765 dset_write
[seqwish::transclosure] 11020.795 30.10% 950356765-1000356765 dset_compression
[seqwish::transclosure] 11033.436 30.10% 950356765-1000356765 dset_sort
[seqwish::transclosure] 11038.100 30.10% 950356765-1000356765 dset_invert
[seqwish::transclosure] 11049.133 30.10% 950356765-1000356765 graph_emission
[seqwish::transclosure] 11196.726 31.73% 1000356765-1050356765 overlap_collect
[seqwish::transclosure] 11220.280 31.73% 1000356765-1050356765 rank_build
[seqwish::transclosure] 11273.242 31.73% 1000356765-1050356765 parallel_union_find
[seqwish::transclosure] 11378.926 31.73% 1000356765-1050356765 dset_write
[seqwish::transclosure] 11392.100 31.73% 1000356765-1050356765 dset_compression
[seqwish::transclosure] 11407.022 31.73% 1000356765-1050356765 dset_sort
[seqwish::transclosure] 11411.755 31.73% 1000356765-1050356765 dset_invert
[seqwish::transclosure] 11426.175 31.73% 1000356765-1050356765 graph_emission
